Sequence in Dataset,Name,Label,Type,Level,Width,Decimals,Domain,Value scheme,Missing Scheme,Link to values,
188,E_Q07a,Last job - Employees working for you,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
189,E_Q07b,Last job - Employees working for you - Count,Integer,Ordinal,1,0,Background questionnaire,Employee numbers,BQ (numeric),Values,
190,E_Q08,Last job - Type of contract,Integer,Nominal,2,0,Background questionnaire,Employment contract types,BQ (numeric),Values,
191,E_Q09,Last job - Hours/week,Integer,Ratio,3,0,Background questionnaire,,BQ (numeric),Values,
192,E_Q09_C,Last work - Hours/week (top-coded at 60),Integer,Ratio,2,0,Background questionnaire (derived),,BQ (numeric),Values,
193,E_Q10,Last job - Reason for end of job,Integer,Nominal,2,0,Background questionnaire,Reasons for stopping work,BQ (numeric),Values,
194,F_Q01b,Skill use work - Time cooperating with co-workers,Integer,Ordinal,1,0,Background questionnaire,Time spent,BQ (numeric),Values,
195,F_Q02a,Skill use work - How often - Sharing work-related info,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
196,F_Q02b,Skill use work - How often - Teaching people,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
197,F_Q02c,Skill use work - How often - Presentations,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
198,F_Q02d,Skill use work - How often - Selling,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
199,F_Q02e,Skill use work - How often - Advising people,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
200,F_Q03a,Skill use work - How often - Planning own activities,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
201,F_Q03b,Skill use work - How often - Planning others activities,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
202,F_Q03c,Skill use work - How often - Organising own time,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
203,F_Q04a,Skill use work - How often - Influencing people,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
204,F_Q04b,Skill use work - How often - Negotiating with people,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
205,F_Q05a,Skill use work - Problem solving - Simple problems,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
206,F_Q05b,Skill use work - Problem solving - Complex problems,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
207,F_Q06b,Skill use work - How often - Working physically for long,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
208,F_Q06c,Skill use work - How often - Using hands or fingers,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
209,F_Q07a,Skill use work - Not challenged enough,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
210,F_Q07b,Skill use work - Need more training,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
211,G_Q01a,Skill use work - Literacy - Read directions or instructions,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
212,G_Q01a_T,"As part of job, read or use directions or instructions (Trend-IALS/ALL)",Integer,Ordinal,1,0,Background questionnaire (trend),Trend - Weekly frequencies (1-4),Trend - BQ (nummeric) collapsed,Values,
213,G_Q01a_T1,"As part of job, read or use directions or instructions - levels collapsed (Trend-IALS/ALL)",Integer,Ordinal,1,0,Background questionnaire (trend),Trend - Frequency (time units 1-3),Trend - BQ (nummeric) collapsed,Values,
214,G_Q01b,Skill use work - Literacy - Read letters memos or mails,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
215,G_Q01b_T,"As part of job, read or use letters, memos, e-mails (Trend-IALS/ALL)",Integer,Ordinal,1,0,Background questionnaire (trend),Trend - Weekly frequencies (1-4),Trend - BQ (nummeric) collapsed,Values,
216,G_Q01b_T1,"As part of job, read or use letters, memos, e-mails - levels collapsed (Trend-IALS/ALL)",Integer,Ordinal,1,0,Background questionnaire (trend),Trend - Frequency (time units 1-3),Trend - BQ (nummeric) collapsed,Values,
217,G_Q01c,Skill use work - Literacy - Read newspapers or magazines,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
218,G_Q01c_T,"As part of job, read or use reports, articles, magazines, journals (Trend-IALS/ALL)",Integer,Ordinal,1,0,Background questionnaire (trend),Trend - Weekly frequencies (1-4),Trend - BQ (nummeric) collapsed,Values,
219,G_Q01c_T1,"As part of job, read or use reports, articles, magazines, journals - levels collapsed (Trend-IALS/ALL)",Integer,Ordinal,1,0,Background questionnaire (trend),Trend - Frequency (time units 1-3),Trend - BQ (nummeric) collapsed,Values,
220,G_Q01d,Skill use work - Literacy - Read professional journals or publications,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
221,G_Q01e,Skill use work - Literacy - Read books,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
222,G_Q01f,Skill use work - Literacy - Read manuals or reference materials,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
223,G_Q01f_T,"As part of job, read or use manuals, reference books, catalogues (Trend-IALS/ALL)",Integer,Ordinal,1,0,Background questionnaire (trend),Trend - Weekly frequencies (1-4),Trend - BQ (nummeric) collapsed,Values,
224,G_Q01f_T1,"As part of job, read or use manuals, reference books, catalogues - levels collapsed (Trend-IALS/ALL)",Integer,Ordinal,1,0,Background questionnaire (trend),Trend - Frequency (time units 1-3),Trend - BQ (nummeric) collapsed,Values,
225,G_Q01g,Skill use work - Literacy - Read financial statements,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
226,G_Q01g_T,"As part of job, read or use bills, invoices, spreadsheets, budget tables (Trend-IALS/ALL)",Integer,Ordinal,1,0,Background questionnaire (trend),Trend - Weekly frequencies (1-4),Trend - BQ (nummeric) collapsed,Values,
227,G_Q01g_T1,"As part of job, read or use bills, invoices, spreadsheets, budget tables - levels collapsed (Trend-IALS/ALL)",Integer,Ordinal,1,0,Background questionnaire (trend),Trend - Frequency (time units 1-3),Trend - BQ (nummeric) collapsed,Values,
228,G_Q01h,Skill use work - Literacy - Read diagrams maps or schematics,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
229,G_Q01h_T,"As part of job, read or use diagrams or schematics (Trend-IALS/ALL)",Integer,Ordinal,1,0,Background questionnaire (trend),Trend - Weekly frequencies (1-4),Trend - BQ (nummeric) collapsed,Values,
230,G_Q01h_T1,"As part of job, read or use diagrams or schematics - levels collapsed (Trend-IALS/ALL)",Integer,Ordinal,1,0,Background questionnaire (trend),Trend - Frequency (time units 1-3),Trend - BQ (nummeric) collapsed,Values,
231,G_Q02a,Skill use work - Literacy - Write letters memos or mails,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
232,G_Q02b,Skill use work - Literacy - Write articles,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
233,G_Q02c,Skill use work - Literacy - Write reports,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
234,G_Q02d,Skill use work - Literacy - Fill in forms,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
235,G_Q03b,Skill use work - Numeracy - How often - Calculating costs or budgets,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
236,G_Q03c,Skill use work - Numeracy - How often - Use or calculate fractions or percentages,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
237,G_Q03d,Skill use work - Numeracy - How often - Use a calculator,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
238,G_Q03f,Skill use work - Numeracy - How often - Prepare charts graphs or tables,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
239,G_Q03g,Skill use work - Numeracy - How often - Use simple algebra or formulas,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
240,G_Q03h,Skill use work - Numeracy - How often - Use advanced math or statistics,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
241,G_Q04,Skill use work - ICT - Experience with computer in job,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
242,G_Q04_T,Ever used computer (Trend-IALS/ALL),Integer,Nominal,1,0,Background questionnaire (trend),Yes (1) / No (2),BQ (numeric),Values,
243,G_Q05a,Skill use work - ICT - Internet - How often - For mail,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
244,G_Q05c,Skill use work - ICT - Internet - How often - Work related info,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
245,G_Q05d,Skill use work - ICT - Internet - How often - Conduct transactions,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
246,G_Q05e,Skill use work - ICT - Computer - How often - Spreadsheets,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
247,G_Q05f,Skill use work - ICT - Computer - How often - Word,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
248,G_Q05g,Skill use work - ICT - Computer - How often - Programming language,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
249,G_Q05h,Skill use work - ICT - Computer - How often - Real-time discussions,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
250,G_Q06,Skill use work - ICT - Computer - Level of computer use,Integer,Ordinal,1,0,Background questionnaire,Job requirement - computer use levels,BQ (numeric),Values,
251,G_Q07,Skill use work - ICT - Computer - Got the skills needed,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
252,G_Q08,Skill use work - ICT - Computer - Lack of skills affect career,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
253,H_Q01a,Skill use everyday life - Literacy - Read directions or instructions,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
254,H_Q01b,Skill use everyday life - Literacy - Read letters memos or mails,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
255,H_Q01b_T,"In daily life, read or use letters, notes, e-mails (Trend-IALS/ALL)",Integer,Ordinal,1,0,Background questionnaire (trend),Trend - Frequency (time units 1-4),BQ (numeric),Values,
256,H_Q01c,Skill use everyday life - Literacy - Read newspapers or magazines,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
257,H_Q01c_T,"In daily life, read or use newspapers, magazines, articles (Trend-IALS/ALL)",Integer,Ordinal,1,0,Background questionnaire (trend),Trend - Frequency (time units 1-4),BQ (numeric),Values,
258,H_Q01d,Skill use everyday life - Literacy - Read professional journals or publications,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
259,H_Q01e,Skill use everyday life - Literacy - Read books,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
260,H_Q01e_T,"In daily life, read or use books (fiction or nonfiction; not for job or school) (Trend-IALS/ALL)",Integer,Ordinal,1,0,Background questionnaire (trend),Trend - Frequency (time units 1-4),BQ (numeric),Values,
261,H_Q01f,Skill use everyday life - Literacy - Read manuals or reference materials,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
262,H_Q01g,Skill use everyday life - Literacy - Read financial statements,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
263,H_Q01h,Skill use everyday life - Literacy - Read diagrams maps or schematics,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
264,H_Q02a,Skill use everyday life - Literacy - Write letters memos or mails,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
265,H_Q02b,Skill use everyday life - Literacy - Write articles,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
266,H_Q02c,Skill use everyday life - Literacy - Write reports,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
267,H_Q02d,Skill use everyday life - Literacy - Fill in forms,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
268,H_Q03b,Skill use everyday life - Numeracy - How often - Calculating costs or budgets,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
269,H_Q03c,Skill use everyday life - Numeracy - How often - Use or calculate fractions or percentages,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
270,H_Q03d,Skill use everyday life - Numeracy - How often - Use a calculator,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
271,H_Q03f,Skill use everyday life - Numeracy - How often - Prepare charts graphs or tables,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
272,H_Q03g,Skill use everyday life - Numeracy - How often - Use simple algebra or formulas,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
273,H_Q03h,Skill use everyday life - Numeracy - How often - Use advanced math or statistics,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
